"Process Type","Process Name","Process ID","Output Resource","Pathways the process is used in.","SCC",9991,9992,9993,9994,9995,9996,888,"NOTES","NOTES"
"StationaryProcess","Production of Nickel Nitrate",55006079,"Nickel Nitrate","Production of Nickel Nitrate","30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,,,,,,,,
"StationaryProcess","Production of Magnesium Nitrate",55006739,"Nickel Nitrate",,"30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,,,,,,,,
"StationaryProcess","Production of white phosphorous",55010020,"White phosphorous",,"30111201;30111202;30111299",,,,,,,,,
"StationaryProcess","Sand production",55010291,"Sand","Sand production",30502501,,,,,,,,,
"StationaryProcess","Production of white phosphorous",55337446,"White phosphorous","Production of white phosphorous","30111201;30111202;30111299",,,,,,,,,
"StationaryProcess","Production of PCl3",55338811,"PCl3","Production of PCl3",30111201,,,,,,,,"This is elemental phosphorous production.",
"StationaryProcess","Production of oxygen",55345020,"Oxygen","Production of oxygen",30107101,,,,,,,,"I just used hydrogen",
"StationaryProcess","Production of syngas from natural gas",55345278,"Syngas","Isobutanol from Fossil Energy (with Syngas from Natural Gas),1,3-Propanediol Production from Fossil Fuel (with Syngas from Natural Gas) Pathway,Production of syngas from Natural Gas","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","MoS2 Mining",55353963,"MoS2","Production of MoS2",30301101,,,,,,,,"This is molybdenite, which is the principle ore of molybdenum, so it's probably the same as 'molybdenum mining'",
"StationaryProcess","Production of MoO3",55354401,"MoO3","Production of MoO3","30509201;30509202;30509203;30509204;30509205",,,,,,,,"Catalyst production, from MoS2.",
"StationaryProcess","Production of Na2S2O4",55354724,"Na2S2O4","Production of Na2S2O4",30113299,,,,,,,,"Dithionous acid is an organic acid, and this is the salt of this acid.",
"StationaryProcess","Production of Zinc",55354904,"Zinc","Production of Zinc","30303003;30303005;30303006;30303009;30303010;30303011;30303012;30303014;30303015;30303016;30303018;30303022;30303023;30303027;30303028;30303099",,,,,,,,,
"StationaryProcess","Production of (NH4)6Mo7O24",55356090,"Ammonium heptamolybdate","Production of (NH4)6Mo7O24","30301199;30630005;30630006;30630007",,99920300,,,,,,"http://www.thomasnet.com/products/ammonium-molybdate-1540608-1.html",
"StationaryProcess","Production of potassium phosphate",55421161,"Potassium Phosphate","Production of potassium phosphate",30502299,,,,,,,,"These are all under ""potash"" production.",
"StationaryProcess","Production of sodium phosphate",55421886,"Sodium Phosphate","Production of sodium phosphate","30501901;30501902;30501903;30501999",,99920300,,,,,,"just used phosphate rock",
"StationaryProcess","Production of TPAOH",55422298,"TPAOH","Production of TPAOH",30509201,,,,,,,,"tetrapropylammonium hydroxide",
"StationaryProcess","Ethylene Production Fossil Energy",55423007,"Bio Ethylene","Ethylene Production from Fossil Energy",30101803,,,,,,,,,
"StationaryProcess","Production of (NaPO3)6",55427436,"Sodium hexametaphosphate","Production of  (NaPO3)6","30501901;30501902;30501903;30501999",,99920300,,,,,,"just used phosphate rock",
"StationaryProcess","Production of SiO2 gel",55427776,"SiO2 gel","Production of SiO2 gel",65130001,,,,,,,,"Fumed silica is different to silica gel, but this is the only type of silica listed (although there is a code for industrial sand production 305027).",
"StationaryProcess","Production of ZSM-5",55428064,"ZSM-5","High octane gasoline via IDL,Production of ZSM-5","30509201;30509202;30509203;30509204;30509205",,,,,,,,"Just catalyst production",
"StationaryProcess","Lithium Carbonate Production in Chile",55601549,"Lithium Carbonate (Chile)","Production of lithium manganese oxide with Virgin Li2CO3 from Chile,Lithium iron phosphate (solid state),Production of lithium cobalt oxide (solid state),Lithium Carbonate Production in Chile,Production of LMR-NMC","30301001;30301002;30301004;30301009;30301010;30301011;30301012;30301013;30301014;30301021;30301022;30301023;30301024;30301025;30301099",,99920100,,,99950200,,,,
"StationaryProcess","Propylene Glycol Production from Glycerin (Algal Oil)",55605679,"Bio Propylene Glycol","Propylene Glycol Bioproduct from Glycerin (Algal Oil)",30120531,,,,,,,,"Process vent",
"StationaryProcess","1,3-Propanediol Production from Glycerin (Algal Oil)",55607019,"Bio 1,3-Propanediol","1,3-Propanediol Bioproduct from Glycerin (Algal Oil)",30206019,99910100,,,,,,,"This is the code for glycerin storage under biodiesel production. Maybe this glycerin could be used for propanediol?",
"StationaryProcess","3-Hydroxypropionic Acid Production from Glycerin (Algal Oil)-Distillation",55608848,"Bio 3-Hydroxypropionic Acid","3-Hydroxypropionic Acid Bioproduct from Glycerin (Algal Oil): Distillation,Acrylic Acid Bioproduct from 3-Hydropropionic Acid (Algal Oil)","30206013;30206015;30206021;30206025",99910100,,,,,,,,
"StationaryProcess","Acrylic Acid Production from 3-Hydroxypropionic Acid (Algal Oil)",55609458,"Bio Acrylic Acid","Acrylic Acid Bioproduct from 3-Hydropropionic Acid (Algal Oil)",30113221,,,,,,,,,
"StationaryProcess","Bio Ethylene Production from Ethanol (Corn Stover)",55609891,"Bio Ethylene","Ethylene Bioproduct from Ethanol (Corn Stover)",30101803,,,,,,,,"Ethylene can be made by dehydrating ethanol mixed with sulphuric acid, or in the gas phase with aluminium oxide. Who knows where or whether this takes place; the code I've given is for the production from fossil energy",
"StationaryProcess","Glycerin Production from Algal Oil",55615928,"Glycerin","Propylene Glycol Bioproduct from Glycerin (Algal Oil),3-Hydroxypropionic Acid Bioproduct from Glycerin (Algal Oil): Distillation,3-Hydroxypropionic Acid Bioproduct from Glycerin (Algal Oil): Electrodeionization,Acrylic Acid Bioproduct from 3-Hydropropionic Acid (Algal Oil),1,3-Propanediol Bioproduct from Glycerin (Algal Oil)",30206018,,,,,,,,,
"StationaryProcess","Polyethylene Production from Ethylene (Corn Stover)",55678667,"Polyethylene","Polyethylene Bioproduct from Ethylene (Corn Stover)",30101817,,,,,,,,,
"StationaryProcess","Sugars Production from Dilute Acid Pretrated (DAP) Corn Stover",55680910,"Sugars","Sugars Production from Dilute Acid Pretrated (DAP) Corn Stover",30205010,,,,,,,,,
"StationaryProcess","Isobutanol Production from Sugars (Corn Stover)",55682754,"Isobutanol","Isobutanol Bioproduct from Sugars (Corn Stover)","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,"assume where ethanol is produced",
"StationaryProcess","Succinic Acid Production from Sugars (Corn Stover)",55683848,"Succinic Acid","Succinic Acid Bioproduct from Sugars (Corn Stover)",30113299,,,,,,,,,
"StationaryProcess","1,4-Butanediol Production from Succinic Acid (Corn Stover) and Ethanol (Corn)",55685122,"1,4-Butanediol","1,4-Butanediol Bioproduct from Succinic Acid (Corn Stover) and Ethanol (Corn)","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,"Assume this happens where ethanol is produced",
"StationaryProcess","1,3-Propanediol Production from 3-Hydroxypropionic Acid (Algal Oil)",55685901,"Bio 1,3-Propanediol","1,3-Propanediol Bioproduct from 3-Hydroxypropionic Acid (Algal Oil)",40781605,99910100,,,,,,,"Propane storage",
"StationaryProcess","Produciton of activated carbon",55701072,"Activated carbon","Production of activated carbon","30100502;30100503;30100504;30100506;30100507;30100508;30100509;30100510;30100599",,,,,,,,"How different are activated carbon and carbon black? They're both paracrystalline carbon, but activated C has a higher surface area to volume. Is that it?",
"StationaryProcess","Production of alcohol synthesis catalyst",55701450,"Alcohol Synthesis Catalyst","Production of alcohol synthesis catalyst,High octane gasoline via IDL",30509203,,,,,,,,"From the GREET source for this process: The composition of the alcohol synthesis catalyst is approximated from U.S. Patent 4,882,360 (Stevens, 1989). It is assumed to be composed (all percentages given by weight) of 12% molybdenum oxide (MoO2), 2% potassium oxide (K2O), 11% cobalt oxide (CoO), and 68% carbon support (activated carbon). The remaining weight is assumed to be sulfur from hydrogen sulfide, which displaces oxygen during chemical reduction of the surface. The catalyst is prepared by contacting activated carbon with a hot aqueous solution of soluble Mo salt (i.e., ammonium heptamolybdate) and cobalt nitrate [Co(NO3)2] in a phosphoric acidic solution. After drying, the solids are contacted with the caustic KOH solution and subsequently dried. The resulting catalyst is then sulfided (Stevens, 1989).",
"StationaryProcess","Production of DEPG",55702116,"Dimethyl Ether of Polyethylene Glycol ","Production of Dimethyl Ether of Polyethylene Glycol ","40704897;40704898",,,,,,,,"DME isn't currently in widespread usage as a fuel",
"StationaryProcess","Production of tar reforming catalyst",55702385,"Tar reforming catalyst","Production of Tar reforming catalyst",30509201,,,,,,,,"This is catalyst production. Otherwise, tar dehydrator: 30300334",
"StationaryProcess","Production of Magnesium",55702907,"Magnesium","Production of Magnesium","30400601;30400605;30400650;30400699",,,,,,,,"There are many electrolysis processes listed for producing Mg. I can't see any specific thermal reduction process, though.",
"StationaryProcess","Production of Magnesium nitrate",55703149,"Magnesium Nitrate","Production of Magnesium nitrate,Production of Tar reforming catalyst",30400601,,,,,,,,"This is just magnesium: pot furnace",
"StationaryProcess","Production of Kaolin",55704422,"Kaolin","Production of Kaolin","30504102;30504103;30504115;30504119;30504129;30504130;30504131;30504132;30504139;30504140;30504141;30504142;30504149;30504150;30504151;30504170;30504171;30504172",,,,,,,,,
"StationaryProcess","Production of ZSM-5 catalsyt",55704637,"ZSM-5 catalyst","Production of ZSM-5 catalyst","30509201;30509202;30509203;30509204;30509205",,,,,,,,"Just catalyst production",
"StationaryProcess","Corn Stover Pretreatment by Dilute Acid (DAP)",55937914,"Corn Stover",,"30102701;30102704;30102705;30102706;30102707;30102708;30102709;30102710;30102711;30102712;30102713;30102714;30102717;30102720;30102722;30102723;30102724;30102725;30102727;30102728",,,,,99950100,,,,
"StationaryProcess","Switchgrass Pretreatment by Dilute Acid (DAP)",55938217,"Switchgrass",,2801000000,,,,99942100,,,,,
"StationaryProcess","Poplar Pretreatment by Dilute Acid (DAP)",55938797,"Poplar",,30205010,,,,,,,,,
"StationaryProcess","Miscanthus Pretreatment by Dilute Acid (DAP)",55938923,"Miscanthus",,2801000000,,,,99942060,,,,,
"StationaryProcess","Corn Stover Pretreatment by Ammonia Fiber Explosion (AFEX)",55939321,"Corn Stover",,2801000000,99910300,,,,,,,"AFEX doesn't really happen yet.",
"StationaryProcess","Switchgrass Pretreatment by Ammonia Fiber Explosion (AFEX)",55939544,"Switchgrass",,2801000000,99910300,,,,,,,"AFEX doesn't really happen yet.",
"StationaryProcess","Poplar Pretreatment by Ammonia Fiber Explosion (AFEX)",55939648,"Poplar",,2801000000,99910300,,,,,,,"AFEX doesn't really happen yet.",
"StationaryProcess","Hot Rolling",55939656,"Steel","Virgin Steel Production,Hot Rolled Steel Product: Combined",30300931,,,,,,,,,
"StationaryProcess","Skin Mill",55939703,"Steel","Virgin Steel Production,Hot Rolled Steel Product: Combined","30300901;30300904;30300906;30300907;30300908;30300910;30300911;30300912;30300913;30300914;30300915;30300916;30300917;30300920;30300921;30300922;30300923;30300924;30300925;30300926;30300927;30300928;30300929;30300930;30300931;30300932;30300933;30300934;30300935;30300936;30300998;30300999",,,,,,,,,
"StationaryProcess","Cold Rolling",55939762,"Steel","Virgin Steel Production",30300935,,,,,,,,,
"StationaryProcess","Miscanthus Pretreatment by Ammonia Fiber Explosion (AFEX)",55939817,"Miscanthus",,2801000000,99910300,,,,,,,"AFEX doesn't really happen yet. I think an ammoniator involves a similar process to what is needed, but the ones listed are ""ammoniator-granulator""s, which I think are just for producing compounds for fertiliser.",
"StationaryProcess","Galvanizing",55940276,"Steel","Virgin Steel Production","30300901;30300904;30300906;30300907;30300908;30300910;30300911;30300912;30300913;30300914;30300915;30300916;30300917;30300920;30300921;30300922;30300923;30300924;30300925;30300926;30300927;30300928;30300929;30300930;30300931;30300932;30300933;30300934;30300935;30300936;30300998;30300999",,,,,,,,,
"StationaryProcess","Stamping",55940391,"Steel","Virgin Steel Production","30300901;30300904;30300906;30300907;30300908;30300910;30300911;30300912;30300913;30300914;30300915;30300916;30300917;30300920;30300921;30300922;30300923;30300924;30300925;30300926;30300927;30300928;30300929;30300930;30300931;30300932;30300933;30300934;30300935;30300936;30300998;30300999",,,,,,,,,
"StationaryProcess","Electric Arc Furnace",55940416,"Steel","Recycled Steel Production,Recycled Steel Production for Construction,Stainless Steel Production","30300901;30300904;30300906;30300907;30300908;30300910;30300911;30300912;30300913;30300914;30300915;30300916;30300917;30300920;30300921;30300922;30300923;30300924;30300925;30300926;30300927;30300928;30300929;30300930;30300931;30300932;30300933;30300934;30300935;30300936;30300998;30300999",,,,,,,,,
"StationaryProcess","Rod and Bar Mill for Recycled Steel",55940815,"Steel","Recycled Steel Production,Recycled Steel Production for Construction","30300901;30300904;30300906;30300907;30300908;30300910;30300911;30300912;30300913;30300914;30300915;30300916;30300917;30300920;30300921;30300922;30300923;30300924;30300925;30300926;30300927;30300928;30300929;30300930;30300931;30300932;30300933;30300934;30300935;30300936;30300998;30300999",,,,,,,,,
"StationaryProcess","Steel Machining",55940917,"Steel","Recycled Steel Production,Recycled Steel Production for Construction,Stainless Steel Production","30300901;30300904;30300906;30300907;30300908;30300910;30300911;30300912;30300913;30300914;30300915;30300916;30300917;30300920;30300921;30300922;30300923;30300924;30300925;30300926;30300927;30300928;30300929;30300930;30300931;30300932;30300933;30300934;30300935;30300936;30300998;30300999",,,,,,,,,
"StationaryProcess","Rod and Bar Mill for Stainless Steel",55957090,"Steel","Stainless Steel Production","30300901;30300904;30300906;30300907;30300908;30300910;30300911;30300912;30300913;30300914;30300915;30300916;30300917;30300920;30300921;30300922;30300923;30300924;30300925;30300926;30300927;30300928;30300929;30300930;30300931;30300932;30300933;30300934;30300935;30300936;30300998;30300999",,,,,,,,,
"StationaryProcess","Production of Olivine",55958064,"Olivine","Production of Olivine","30504001;30504002;30504003;30504010;30504020;30504021;30504022;30504023;30504024;30504025;30504030;30504031;30504032;30504033;30504034;30504036;30504099",,,,,,,,,
"StationaryProcess","Production of Phosphoric acid",55958908,"Phosphoric acid","Production of phosphoric acid","30101601;30101602;30101603;30101699;30101704;30101705;30101706;30101707;30101799",,,,,,,,"Wet and dry process -- haven't checked which GREET uses yet",
"StationaryProcess","Iron Recycling",55961106,"Iron","Final Cast Iron,Final Forged Iron","30901201;30901202;30901203",,,,,,,,"Precious metals recovery is 30901200. This only typically refers to gold, silver and platinum, but there are no other metal recovery/recycling codes given, and I don't think the process is that different.",
"StationaryProcess","Iron Casting",55961513,"Iron","Final Cast Iron","30301501;30301502;30301503;30301518;30301521;30301522;30301541;30301554;30301560;30301561;30301580;30301581;30301584;30301590;30301591;30301596",,,,,,,,,
"StationaryProcess","Iron Forging",55961713,"Iron","Final Forged Iron",30300821,,,,,,,,,
"StationaryProcess","Cast Iron Machining",55961848,"Iron","Final Cast Iron,Final Forged Iron","30301501;30301502;30301503;30301518;30301521;30301522;30301541;30301554;30301560;30301561;30301580;30301581;30301584;30301590;30301591;30301596",,,,,,,,,
"StationaryProcess","Vanadium Ore Mining",56036356,"Vanadium (Virgin)","Vanadium Production (Virgin)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,,
"StationaryProcess","Potassium Hydroxide (KOH) Production GREET2",56038199,"Potassium Hydroxide",,30502299,,,,,,,,"These are all under ""potash"" production.",
"StationaryProcess","Zinc Ore Mining",56038827,"Zinc Ore","Production of Zinc with Combustion,Production of Zinc","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,,
"StationaryProcess","Zinc Combustion",56039912,"Zinc","Production of Zinc with Combustion","30303003;30303005;30303006;30303009;30303010;30303011;30303012;30303014;30303015;30303016;30303018;30303022;30303023;30303027;30303028;30303099",,,,,,,,"What do you mean by 'combustion'? A pyrometallurgical process (as opposed to an electrolysis process)?",
"StationaryProcess","Conventional NG Processing",56043002,"Natural Gas",,"31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,,,,,
"StationaryProcess","Chromium Ore Mining",56196711,"Chromium (Virgin)","Chromium Production (Virgin)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,,
"StationaryProcess","Virgin Chromium Production",56197093,"Chromium (Virgin)","Chromium Production (Virgin)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,"usa doesn't produce virgin chromium from chromite ore",
"StationaryProcess","Recycled Chromium Production",56197548,"Chromium (Recycled)","Recycled Chromium Production","30901201;30901202;30901203",,,,,,,,"Precious metals recovery is 30901200. This only typically refers to gold, silver and platinum, but there are no other metal recovery/recycling codes given, and I don't think the process is that different.",
"StationaryProcess","Titanium Ore Mining",56198879,"Titanium (Virgin)","Titanium Production (Virgin)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,,
"StationaryProcess","Virgin Titanium Production",56198952,"Titanium (Virgin)","Titanium Production (Virgin)","30301202;30301299",,,,,,,,,
"StationaryProcess","Recycled Titanium Production",56198981,"Titanium (Recycled)","Recycled Titanium Production","30901201;30901202;30901203",,,,,,,,"Precious metals recovery is 30901200. This only typically refers to gold, silver and platinum, but there are no other metal recovery/recycling codes given, and I don't think the process is that different.",
"StationaryProcess","Virgin Vanadium Production",56200393,"Vanadium (Virgin)","Vanadium Production (Virgin)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,99950000,,,,
"StationaryProcess","Recycled Vanadium Production",56200839,"Vanadium (Recycled)","Recycled Vanadium Production","30901201;30901202;30901203",,,,,,,,"Precious metals recovery is 30901200. This only typically refers to gold, silver and platinum, but there are no other metal recovery/recycling codes given, and I don't think the process is that different.",
"StationaryProcess","Canadian Natural Gas/Natural Gas Liquids Recovery",56213349,"Natural Gas","Canadian NG for Electricity Generation,Canadian NG as Stationary Fuels,Canadian Natural Gas/Natural Gas Liquids Recovery and Processing","31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,99951000,,,,
"StationaryProcess","Canadian Natural Gas/Natural Gas Liquids Processing",56214146,"Natural Gas","Canadian NG for Electricity Generation,Canadian NG as Stationary Fuels,Canadian Natural Gas/Natural Gas Liquids Recovery and Processing","31000301;31000302;31000303;31000304;31000305;31000306;31000307;31000308;31000309;31000310;31000311;31000321;31000322;31000323;31000324;31000325",,,,,99951000,,,,
"StationaryProcess","Lithium Carbonate (US)",56222859,"Lithium Carbonate (US)",,"30301001;30301002;30301004;30301009;30301010;30301011;30301012;30301013;30301014;30301021;30301022;30301023;30301024;30301025;30301099",,99920100,,,,,,,
"StationaryProcess","Magnesium Ore Mining",56296372,"Magnesium Ore","Production of Magnesium,Production of Virgin Magnesium (Combined)",30502401,,,,,,,,"Magnesium carbonate (magnesate) is one of the ores of Mg (dolomite is another, not listed in the codes).",
"StationaryProcess","Production of Nickel Sulfate",56320043,"Nickel Sulfate","Production of LMR-NMC,Production of NMC,Production of Nickel Sulfate","30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,99920300,,,,,,,
"StationaryProcess","Production of Nickel Oxide",56320180,"Nickel Oxide","Production of Nickel Sulfate-Copy","30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,,,,,,,,
"StationaryProcess","Production of Cobalt Sulfate",56321008,"Cobalt Sulfate","Production of LMR-NMC,Production of NMC,Production of Coblat Sulfate","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,"Again, cobalt sulphate is produced as a by-product of removing cobalt impurities from (mostly) copper and nickel production",
"StationaryProcess","Production of Manganese Sulfate",56321274,"Manganese Sulfate","Production of LMR-NMC,Production of NMC,Production of Manganese Sulfate","30300605;30300606",,99920300,,,,,,"these are ferro- and silico- manganese production",
"StationaryProcess","Ammonium hydroxide production",56321566,"Ammonium hydroxide","Production of LMR-NMC,Production of NMC,Production of ammonium hydroxide","30102701;30102704;30102705;30102706;30102707;30102708;30102709;30102710;30102711;30102712;30102713;30102714;30102717;30102720;30102722;30102723;30102724;30102725;30102727;30102728",,99920300,,,,,,"I've just used ammonium nitrate. For a better map: http://www.thomasnet.com/products/ammonium-hydroxide-1535400-1.html",
"StationaryProcess","Produce cathode precursor Ni0.4Co0.2Mn0.4(OH)2",56321973,"Cathode precursor Ni0.4Co0.2Mn0.4(OH)2","Production of NMC","30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,,,,,,,"Nickel metal production",
"StationaryProcess","Magnesium via Electrolytic production",56559393,"Magnesium","Production of Virgin Magnesium (Combined)","30400601;30400605;30400650;30400699",,,,,,,,,
"StationaryProcess","Magnesium via Thermal production",56560406,"Magnesium","Production of Virgin Magnesium (Combined)",30400699,,,,,,,,,
"StationaryProcess","Magnesium Recycling",56562663,"Magnesium","Production of Recycled Magnesium","30901201;30901202;30901203",,,,,,,,"Precious metals recovery is 30901200. This only typically refers to gold, silver and platinum, but there are no other metal recovery/recycling codes given, and I don't think the process is that different.",
"StationaryProcess","Magnesium Casting and Molding",56562957,"Magnesium","Production of Recycled Magnesium,Production of Virgin Magnesium (Combined)",30400699,,,,,,,,,
"StationaryProcess","Production of Lithium Hydroxide ",56582993,"Lithium Hydroxide","Lithium cobalt oxide (hydrothermal route),Production of lithium iron phosphate (hydrothermal),Production of NMC","30301001;30301002;30301004;30301009;30301010;30301011;30301012;30301013;30301014;30301021;30301022;30301023;30301024;30301025;30301099",,99920100,,,99951300,,,"80% of Li used in the US is imported, though, so 99951300 applies too. There's exactly one lithium hydroxide production facility in the US, and that's in North Carolina. http://webcache.googleusercontent.com/search?q=cache:blMyVjGzNB4J:oilprice.com/Energy/Energy-General/New-Wyoming-Lithium-Deposit-could-Meet-all-U.S.-Demand.html+&cd=5&hl=en&ct=clnk&gl=us",
"StationaryProcess","Production of NMC",56721211,"NMC","Production of NMC","30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,,,,,,,"Nickel metal production",
"StationaryProcess","Hydrothermal production of lithium iron phosphate",56722748,"Lithium Iron Phosphate","Production of lithium iron phosphate (hydrothermal)","30301001;30301002;30301004;30301009;30301010;30301011;30301012;30301013;30301014;30301021;30301022;30301023;30301024;30301025;30301099",,99920100,,,,,,,
"StationaryProcess","Production of Lithium Iron Phosphate (solid state)",56722960,"Lithium Iron Phosphate","Lithium iron phosphate (solid state)","30301001;30301002;30301004;30301009;30301010;30301011;30301012;30301013;30301014;30301021;30301022;30301023;30301024;30301025;30301099",,99920100,,,,,,,
"StationaryProcess","Production of iron oxide",56723148,"Iron Oxide","Lithium iron phosphate (solid state)","30300802;30300805;30300808;30300809;30300811;30300812;30300813;30300814;30300815;30300817;30300818;30300819;30300820;30300821;30300822;30300823;30300824;30300825;30300826;30300827;30300829;30300831;30300832;30300833;30300834;30300841;30300842;30300899",,,,,,,,,
"StationaryProcess","Production of technical grade silicon",56730085,"Silicon (technical grade)",,30300604,,,,,,,,"The closest thing is silicon metal smelting under feroalloy production",
"StationaryProcess","Production of LMR-NMC",56730387,"LMR-NMC","Production of LMR-NMC","30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,,,,,,,"Nickel metal production",
"StationaryProcess","Production of LMR-NMC precursor",56730801,"LMR-NMC precursor","Production of LMR-NMC","30401001;30401002;30401004;30401005;30401006;30401007;30401010;30401011;30401018;30401099",,,,,,,,"Nickel metal production",
"StationaryProcess","Production of Co3O4",56731454,"Co3O4","Production of lithium cobalt oxide (solid state)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,99951400,,,"THE US PRODUCES APPROXIMATELY NO COBALT, SO I'VE PUT THIS AS ABROAD. I think cobalt (I-II?) oxide is extracted from copper-cobalt oxide ore, as a byproduct of copper mining. But this is more general. NB If you are choosing between low and high moisture fairly arbitrarily, choose low: I've read that ores are often dried before entering a grinder .so the EF's are the same by dry weight.",
"StationaryProcess","Production of lithium cobalt oxide (solid state)",56731667,"Lithium cobalt oxide","Production of lithium cobalt oxide (solid state)","30301001;30301002;30301004;30301009;30301010;30301011;30301012;30301013;30301014;30301021;30301022;30301023;30301024;30301025;30301099",,99920100,,,99951400,,,,
"StationaryProcess","Production of cobalt chloride",56732189,"Cobalt Chloride","Lithium cobalt oxide (hydrothermal route)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,99951400,,,"THE US PRODUCES APPROXIMATELY NO COBALT, SO I'VE PUT THIS AS ABROAD. I think cobalt (I-II?) oxide is extracted from copper-cobalt oxide ore, as a byproduct of copper mining. But this is more general. NB If you are choosing between low and high moisture fairly arbitrarily, choose low: I've read that ores are often dried before entering a grinder .so the EF's are the same by dry weight.",
"StationaryProcess","ICEV Passenger Cars 1: Conventional Material",56732943,"ICEV Material","ICEV Passenger Cars 1: Conventional Material","31400901;31400902;31400903",,,,,,,,,
"StationaryProcess","ICEV Passenger Cars 1: Lightweight Material",56733270,"ICEV Material","ICEV Passenger Cars 1: Lightweight Material","31400901;31400902;31400903",,,,,,,,,
"StationaryProcess","HEV Passenger Cars: Conventional Material",56733874,"HEV Material","HEV Passenger Cars: Conventional Material","31400901;31400902;31400903",,,,,,,,,
"StationaryProcess","HEV Passenger Cars: Lightweight Material",56734068,"HEV Material","HEV Passenger Cars: Lightweight Material","31400901;31400902;31400903",,,,,,,,,
"StationaryProcess","Production of sodium chlorate",56734395,"Sodium Chlorate","Lithium cobalt oxide (hydrothermal route)","30502101;30102102;30102103;30102104;30102106;30102107;30102108;30102113;30102114;30102121;30102122;30102123;30102124;30102125;30102126;30102127;30102199",,,,,,,,"Sodium carbonate from brine.",
"StationaryProcess","Production of lithium cobalt oxide (hydrothermal)",56734839,"Lithium cobalt oxide","Lithium cobalt oxide (hydrothermal route)","30301001;30301002;30301004;30301009;30301010;30301011;30301012;30301013;30301014;30301021;30301022;30301023;30301024;30301025;30301099",,99920100,,,99951400,,,,
"StationaryProcess","PHEV Passenger Cars: Conventional Material",56736289,"HEV Material","PHEV Passenger Cars: Conventional Material","31400901;31400902;31400903",,,,,,,,,
"StationaryProcess","PHEV Passenger Cars: Lightweight Material",56737540,"HEV Material","PHEV Passenger Cars: Lightweight Material","31400901;31400902;31400903",,,,,,,,,
"StationaryProcess","Manganese in Manganese ore",56794360,"Manganese in Manganese Ore","Production and transportation of Manganese Oxide (Mn2O),Production of LMR-NMC,Production of NMC,Production of Manganese Sulfate","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,,
"StationaryProcess","Production of Mn2O3",56794490,"Manganese oxide","Production and transportation of Manganese Oxide (Mn2O)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,99920300,,,,,,,
